Timestamp,Interface,Protocol,Direction,Message Name,Additional Info
6/5/2023 8:57:40.000 PM,N/A,NR5G L1,N/A,QC5GNR Tx Power Control Information for PCell,
6/5/2023 8:57:40.000 PM,N/A,NR5G L1,N/A,QC5GNR PDSCH Information for PCell,
6/5/2023 8:57:40.000 PM,N/A,NR5G L1,N/A,QC5GNR PUSCH Information for PCell,
6/5/2023 8:57:40.000 PM,N/A,NR5G L1,N/A,QC5GNR DCI Count Information for PCell,
6/5/2023 8:57:40.000 PM,N/A,NR5G L1,N/A,QC5GNR Physical & Mac Layer Throughput Information PCell,
6/5/2023 8:57:40.000 PM,N/A,NR5G L1,N/A,QC5GNR DL RLC Throughput Information,
6/5/2023 8:57:40.000 PM,N/A,NR5G L1,N/A,QC5GNR PDCP Throughput Information DL,
6/5/2023 8:57:40.000 PM,N/A,NR5G L1,N/A,QC5GNR UL Physical Throughput Information PCell,
6/5/2023 8:57:40.000 PM,N/A,NR5G L1,N/A,QC5GNR PDCP Throughput Information UL,
6/5/2023 8:57:40.000 PM,N/A,NR5G L1,N/A,QC5GNR UL RLC Throughput Information,
6/5/2023 8:57:40.000 PM,N/A,NR5G L1,N/A,QC5GNR ENDC TxPwr,
6/5/2023 8:57:40.000 PM,N/A,NR5G L1,N/A,QC5GNR AFCSNR P,
6/5/2023 8:57:40.000 PM,N/A,NR5G L1,N/A,QC5GNR SSB and TRS SNR information for pcell,
6/5/2023 8:57:40.000 PM,N/A,NR5G L1,N/A,QC5GNR PDCP DL Statistics,
6/5/2023 8:57:40.000 PM,N/A,NR5G L1,N/A,QC5GNR RLC DL Statistics,
6/5/2023 8:57:40.000 PM,N/A,NR5G L1,N/A,QC5GNR RLC UL Statistics,
6/5/2023 8:57:40.000 PM,N/A,NR5G L1,N/A,QC5GNR Uplink stats,
6/5/2023 8:57:40.000 PM,N/A,N/A,N/A,Technology Decision,
6/5/2023 8:57:40.460 PM,N/A,N/A,N/A,CM State,
6/5/2023 8:57:40.461 PM,N/A,N/A,N/A,CM State,
"6/5/2023 8:57:41.000 PM,N/A,GPS,N/A,GPS,""Long: -84.140381, Lat: 33.896179; Heading: N/A; Speed: 0; Satellites: N/A; BarometricAltitude: N/A;"""
6/5/2023 8:57:41.000 PM,N/A,N/A,N/A,Technology Decision,
6/5/2023 8:57:41.464 PM,N/A,N/A,N/A,CM State,
6/5/2023 8:57:41.466 PM,N/A,N/A,N/A,CM State,
"6/5/2023 8:57:42.000 PM,N/A,GPS,N/A,GPS,""Long: -84.140381, Lat: 33.896179; Heading: N/A; Speed: 0; Satellites: N/A; BarometricAltitude: N/A;"""
6/5/2023 8:57:42.000 PM,N/A,N/A,N/A,Technology Decision,
6/5/2023 8:57:42.456 PM,N/A,N/A,N/A,CM State,
6/5/2023 8:57:42.458 PM,N/A,N/A,N/A,CM State,
"6/5/2023 8:57:43.000 PM,N/A,GPS,N/A,GPS,""Long: -84.140381, Lat: 33.896179; Heading: N/A; Speed: 0; Satellites: N/A; BarometricAltitude: N/A;"""
6/5/2023 8:57:43.000 PM,N/A,N/A,N/A,Technology Decision,
6/5/2023 8:57:43.458 PM,N/A,N/A,N/A,CM State,
6/5/2023 8:57:43.459 PM,N/A,N/A,N/A,CM State,
"6/5/2023 8:57:44.000 PM,N/A,GPS,N/A,GPS,""Long: -84.140381, Lat: 33.896179; Heading: N/A; Speed: 0; Satellites: N/A; BarometricAltitude: N/A;"""
"6/5/2023 8:57:45.000 PM,N/A,GPS,N/A,GPS,""Long: -84.140381, Lat: 33.896179; Heading: N/A; Speed: 0; Satellites: N/A; BarometricAltitude: N/A;"""
"6/5/2023 8:57:46.000 PM,N/A,GPS,N/A,GPS,""Long: -84.140381, Lat: 33.896191; Heading: N/A; Speed: 1; Satellites: N/A; BarometricAltitude: N/A;"""
"6/5/2023 8:57:47.000 PM,N/A,GPS,N/A,GPS,""Long: -84.140381, Lat: 33.896198; Heading: N/A; Speed: 2; Satellites: N/A; BarometricAltitude: N/A;"""
"6/5/2023 8:57:48.000 PM,N/A,GPS,N/A,GPS,""Long: -84.140373, Lat: 33.896198; Heading: 90; Speed: 3; Satellites: N/A; BarometricAltitude: N/A;"""
"6/5/2023 8:57:49.000 PM,N/A,GPS,N/A,GPS,""Long: -84.140358, Lat: 33.896210; Heading: 47.83823; Speed: 4; Satellites: N/A; BarometricAltitude: N/A;"""
"6/5/2023 8:57:50.000 PM,N/A,GPS,N/A,GPS,""Long: -84.140343, Lat: 33.896221; Heading: 47.90026; Speed: 5; Satellites: N/A; BarometricAltitude: N/A;"""
6/5/2023 8:57:50.000 PM,N/A,N/A,N/A,Technology Decision,
6/5/2023 8:57:50.135 PM,N/A,N/A,N/A,CM State,
6/5/2023 8:57:50.135 PM,N/A,N/A,N/A,CM State,
"6/5/2023 8:57:51.000 PM,N/A,GPS,N/A,GPS,""Long: -84.140327, Lat: 33.896221; Heading: 89.99999; Speed: 6; Satellites: N/A; BarometricAltitude: N/A;"""
6/5/2023 8:57:51.000 PM,N/A,NR5G L1,N/A,QC5GNR RRC Configuration Info for pcell,
6/5/2023 8:57:51.000 PM,N/A,N/A,N/A,Technology Decision,
6/5/2023 8:57:51.468 PM,N/A,N/A,N/A,CM State,
6/5/2023 8:57:51.469 PM,N/A,N/A,N/A,CM State,
6/5/2023 8:57:51.667 PM,N/A,NR5G L1,N/A,QC5GNR NAS MM5G SR,
6/5/2023 8:57:51.667 PM,N/A,NR5G L1,N/A,QC5GNR Initial Acquisition Request and Result,
6/5/2023 8:57:51.667 PM,N/A,NR5G L1,N/A,QC5GNR MIB,
6/5/2023 8:57:51.667 PM,NR-Uu,NR-RRC,gNB → UE,NR5G System Information Block Type1,
6/5/2023 8:57:51.667 PM,N/A,NR5G L1,N/A,QC5GNR RRC Configuration State,
6/5/2023 8:57:51.667 PM,NAS,5GMM,UE → AMF,NR5G Registration Request,
6/5/2023 8:57:51.667 PM,NR-Uu,NR-RRC,UE → gNB,NR5G RRC Setup Request,
6/5/2023 8:57:51.667 PM,N/A,NR5G L1,N/A,QC5GNR Rach Trigger,RACH Reason = (0) CONNECTION_REQUEST
6/5/2023 8:57:51.667 PM,,,Event,NR Registration Request,
6/5/2023 8:57:51.667 PM,,,Event,NR Registration Failure,
6/5/2023 8:57:51.667 PM,,,Event,NR Connected To Idle,
6/5/2023 8:57:51.667 PM,,,Event,NR RRC Setup Request,
6/5/2023 8:57:51.667 PM,,,Event,NR RACH Attempt,CRNTI:0; RACH reason:Connection_Request
6/5/2023 8:57:51.668 PM,N/A,NR5G L1,N/A,QC5GNR Rach Attempt,RACH Result = (0) SUCCESS
6/5/2023 8:57:51.668 PM,N/A,NR5G L1,N/A,QC5GNR PRACH Power for All Sampling,
6/5/2023 8:57:51.668 PM,NR-Uu,NR-RRC,gNB → UE,NR5G RRC Setup,
6/5/2023 8:57:51.668 PM,N/A,NR5G L1,N/A,QC5GNR MAC CDRX Config,
"6/5/2023 8:57:51.668 PM,,,Event,NR RACH Success,""Num Attempt:1; TA value:14; SCS:(1) 30 KHz,(0) 15 KHz,(0) 15 KHz,(0) 15 KHz; CRNTI:56903"""
6/5/2023 8:57:51.804 PM,N/A,NR5G L1,N/A,QC5GNR RRC Configuration State,
6/5/2023 8:57:51.804 PM,NR-Uu,NR-RRC,UE → gNB,NR5G RRC Setup Complete,
6/5/2023 8:57:51.804 PM,,,Event,NR RRC Setup Complete,
6/5/2023 8:57:51.804 PM,,,Event,NR Idle To Connected,
6/5/2023 8:57:51.934 PM,NR-Uu,NR-RRC,gNB → UE,NR5G DL Information Transfer,
6/5/2023 8:57:51.934 PM,NAS,5GMM,AMF → UE,NR5G Authentication request,
6/5/2023 8:57:51.934 PM,NAS,5GMM,UE → AMF,NR5G Authentication Response,
6/5/2023 8:57:51.935 PM,NR-Uu,NR-RRC,UE → gNB,NR5G Ul Information Transfer,
"6/5/2023 8:57:52.000 PM,N/A,GPS,N/A,GPS,""Long: -84.140297, Lat: 33.896221; Heading: 89.99999; Speed: 6; Satellites: N/A; BarometricAltitude: N/A;"""
6/5/2023 8:57:52.000 PM,N/A,NR5G L1,N/A,QC5GNR Searcher Measurement Result,
6/5/2023 8:57:52.000 PM,N/A,NR5G L1,N/A,QC5GNR BRS Measurement Result for PCell SSB,
6/5/2023 8:57:52.000 PM,N/A,NR5G L1,N/A,QC5GNR Tx Power Control Information for PCell,
6/5/2023 8:57:52.000 PM,N/A,NR5G L1,N/A,QC5GNR Channel State Factor PCell,
6/5/2023 8:57:52.000 PM,N/A,NR5G L1,N/A,QC5GNR PDSCH Information for PCell,
6/5/2023 8:57:52.000 PM,N/A,NR5G L1,N/A,QC5GNR PUSCH Information for PCell,
6/5/2023 8:57:52.000 PM,N/A,NR5G L1,N/A,QC5GNR DCI Count Information for PCell,
6/5/2023 8:57:52.000 PM,N/A,NR5G L1,N/A,QC5GNR Physical & Mac Layer Throughput Information PCell,
6/5/2023 8:57:52.000 PM,N/A,NR5G L1,N/A,QC5GNR DL RLC Throughput Information,
6/5/2023 8:57:52.000 PM,N/A,NR5G L1,N/A,QC5GNR UL Physical Throughput Information PCell,
6/5/2023 8:57:52.000 PM,N/A,NR5G L1,N/A,QC5GNR ENDC TxPwr,
6/5/2023 8:57:52.000 PM,N/A,NR5G L1,N/A,QC5GNR AFCSNR P,
6/5/2023 8:57:52.000 PM,N/A,NR5G L1,N/A,QC5GNR RRC Serving Cell info for SA mode,
6/5/2023 8:57:52.000 PM,N/A,NR5G L1,N/A,QC5GNR SSB and TRS SNR information for pcell,
6/5/2023 8:57:52.000 PM,N/A,NR5G L1,N/A,QC5GNR PDCP DL Statistics,
6/5/2023 8:57:52.000 PM,N/A,NR5G L1,N/A,QC5GNR RLC DL Statistics,
6/5/2023 8:57:52.000 PM,N/A,NR5G L1,N/A,QC5GNR RLC UL Statistics,
6/5/2023 8:57:52.000 PM,N/A,NR5G L1,N/A,QC5GNR Uplink stats,
6/5/2023 8:57:52.000 PM,N/A,NR5G L1,N/A,QC5GNR RRC Configuration Info for pcell,
6/5/2023 8:57:52.000 PM,N/A,NR5G L1,N/A,QC5GNR RRC Configuration Info for Scell 2,
6/5/2023 8:57:52.000 PM,N/A,N/A,N/A,Technology Decision,
6/5/2023 8:57:52.077 PM,NR-Uu,NR-RRC,gNB → UE,NR5G DL Information Transfer,
6/5/2023 8:57:52.077 PM,NAS,5GMM,AMF → UE,NR5G NAS Security Mode Command,
6/5/2023 8:57:52.077 PM,NAS,5GMM,UE → AMF,NR5G NAS Security Mode Complete,
6/5/2023 8:57:52.077 PM,NR-Uu,NR-RRC,UE → gNB,NR5G Ul Information Transfer,
